category,month,order_count,total_revenue,avg_revenue
Bakery,2026-01,10,2305,230.5
Bakery,2026-02,12,2340,195.0
Bakery,2026-03,8,1315,164.375
Bakery,2026-04,9,1980,220.0
Bakery,2026-05,11,1890,171.8181818181818
Bakery,2026-06,9,1865,207.22222222222223
Dairy & Eggs,2026-01,16,2758,172.375
Dairy & Eggs,2026-02,16,3313,207.0625
Dairy & Eggs,2026-03,16,2587,161.6875
Dairy & Eggs,2026-04,18,3350,186.11111111111111
Dairy & Eggs,2026-05,18,3329,184.94444444444446
Dairy & Eggs,2026-06,17,2941,173.0
Fruits & Vegetables,2026-01,14,2420,172.85714285714286
Fruits & Vegetables,2026-02,15,3170,211.33333333333334
Fruits & Vegetables,2026-03,16,2605,162.8125
Fruits & Vegetables,2026-04,15,2295,153.0
Fruits & Vegetables,2026-05,9,1490,165.55555555555554
Fruits & Vegetables,2026-06,16,2430,151.875
Household Essentials,2026-01,13,3230,248.46153846153845
Household Essentials,2026-02,13,2484,191.07692307692307
Household Essentials,2026-03,15,3152,210.13333333333333
Household Essentials,2026-04,10,1839,183.9
Household Essentials,2026-05,15,3729,248.6
Household Essentials,2026-06,11,2626,238.72727272727272
Personal Care,2026-01,10,2419,241.9
Personal Care,2026-02,7,1600,228.57142857142858
Personal Care,2026-03,12,2790,232.5
Personal Care,2026-04,8,2200,275.0
Personal Care,2026-05,9,2097,233.0
Personal Care,2026-06,10,2180,218.0
Snacks & Beverages,2026-01,12,1850,154.16666666666666
Snacks & Beverages,2026-02,13,2225,171.15384615384616
Snacks & Beverages,2026-03,16,2615,163.4375
Snacks & Beverages,2026-04,17,2195,129.11764705882354
Snacks & Beverages,2026-05,12,1685,140.41666666666666
Snacks & Beverages,2026-06,15,1730,115.33333333333333
